species	sepal_length	sepal_width	petal_length	petal_width
2setosa	5.1	3.5	1.4	0.2
3setosa	4.9	3.0	1.4	0.2
4setosa	4.7	3.2	1.3	0.2
5setosa	4.6	3.1	1.5	0.2
6setosa	5.0	3.6	1.4	0.2
7setosa	5.4	3.9	1.7	0.4
8setosa	4.6	3.4	1.4	0.3
9setosa	5.0	3.4	1.5	0.2
10setosa	4.4	2.9	1.4	0.2
11setosa	4.9	3.1	1.5	0.1
12setosa	5.4	3.7	1.5	0.2
13setosa	4.8	3.4	1.6	0.2
14setosa	4.8	3.0	1.4	0.1
15setosa	4.3	3.0	1.1	0.1
16setosa	5.8	4.0	1.2	0.2
17setosa	5.7	4.4	1.5	0.4
18setosa	5.4	3.9	1.3	0.4
19setosa	5.1	3.5	1.4	0.3
20setosa	5.7	3.8	1.7	0.3
21setosa	5.1	3.8	1.5	0.3
22setosa	5.4	3.4	1.7	0.2
23setosa	5.1	3.7	1.5	0.4
24setosa	4.6	3.6	1.0	0.2
25setosa	5.1	3.3	1.7	0.5
26setosa	4.8	3.4	1.9	0.2
27setosa	5.0	3.0	1.6	0.2
28setosa	5.0	3.4	1.6	0.4
29setosa	5.2	3.5	1.5	0.2
30setosa	5.2	3.4	1.4	0.2
31setosa	4.7	3.2	1.6	0.2
32setosa	4.8	3.1	1.6	0.2
33setosa	5.4	3.4	1.5	0.4
34setosa	5.2	4.1	1.5	0.1
35setosa	5.5	4.2	1.4	0.2
36setosa	4.9	3.1	1.5	0.1
37setosa	5.0	3.2	1.2	0.2
38setosa	5.5	3.5	1.3	0.2
39setosa	4.9	3.1	1.5	0.1
40setosa	4.4	3.0	1.3	0.2
41setosa	5.1	3.4	1.5	0.2
42setosa	5.0	3.5	1.3	0.3
43setosa	4.5	2.3	1.3	0.3
44setosa	4.4	3.2	1.3	0.2
45setosa	5.0	3.5	1.6	0.6
46setosa	5.1	3.8	1.9	0.4
47setosa	4.8	3.0	1.4	0.3
48setosa	5.1	3.8	1.6	0.2
49setosa	4.6	3.2	1.4	0.2
50setosa	5.3	3.7	1.5	0.2
51setosa	5.0	3.3	1.4	0.2
52versicolor	7.0	3.2	4.7	1.4
53versicolor	6.4	3.2	4.5	1.5
54versicolor	6.9	3.1	4.9	1.5
55versicolor	5.5	2.3	4.0	1.3
56versicolor	6.5	2.8	4.6	1.5
57versicolor	5.7	2.8	4.5	1.3
58versicolor	6.3	3.3	4.7	1.6
59versicolor	4.9	2.4	3.3	1.0
60versicolor	6.6	2.9	4.6	1.3
61versicolor	5.2	2.7	3.9	1.4
62versicolor	5.0	2.0	3.5	1.0
63versicolor	5.9	3.0	4.2	1.5
64versicolor	6.0	2.2	4.0	1.0
65versicolor	6.1	2.9	4.7	1.4
66versicolor	5.6	2.9	3.6	1.3
67versicolor	6.7	3.1	4.4	1.4
68versicolor	5.6	3.0	4.5	1.5
69versicolor	5.8	2.7	4.1	1.0
70versicolor	6.2	2.2	4.5	1.5
71versicolor	5.6	2.5	3.9	1.1
72versicolor	5.9	3.2	4.8	1.8
73versicolor	6.1	2.8	4.0	1.3
74versicolor	6.3	2.5	4.9	1.5
75versicolor	6.1	2.8	4.7	1.2
76versicolor	6.4	2.9	4.3	1.3
77versicolor	6.6	3.0	4.4	1.4
78versicolor	6.8	2.8	4.8	1.4
79versicolor	6.7	3.0	5.0	1.7
80versicolor	6.0	2.9	4.5	1.5
81versicolor	5.7	2.6	3.5	1.0
82versicolor	5.5	2.4	3.8	1.1
83versicolor	5.5	2.4	3.7	1.0
84versicolor	5.8	2.7	3.9	1.2
85versicolor	6.0	2.7	5.1	1.6
86versicolor	5.4	3.0	4.5	1.5
87versicolor	6.0	3.4	4.5	1.6
88versicolor	6.7	3.1	4.7	1.5
89versicolor	6.3	2.3	4.4	1.3
90versicolor	5.6	3.0	4.1	1.3
91versicolor	5.5	2.5	4.0	1.3
92versicolor	5.5	2.6	4.4	1.2
93versicolor	6.1	3.0	4.6	1.4
94versicolor	5.8	2.6	4.0	1.2
95versicolor	5.0	2.3	3.3	1.0
96versicolor	5.6	2.7	4.2	1.3
97versicolor	5.7	3.0	4.2	1.2
98versicolor	5.7	2.9	4.2	1.3
99versicolor	6.2	2.9	4.3	1.3
100versicolor	5.1	2.5	3.0	1.1
101versicolor	5.7	2.8	4.1	1.3
102virginica	6.3	3.3	6.0	2.5
103virginica	5.8	2.7	5.1	1.9
104virginica	7.1	3.0	5.9	2.1
105virginica	6.3	2.9	5.6	1.8
106virginica	6.5	3.0	5.8	2.2
107virginica	7.6	3.0	6.6	2.1
108virginica	4.9	2.5	4.5	1.7
109virginica	7.3	2.9	6.3	1.8
110virginica	6.7	2.5	5.8	1.8
111virginica	7.2	3.6	6.1	2.5
112virginica	6.5	3.2	5.1	2.0
113virginica	6.4	2.7	5.3	1.9
114virginica	6.8	3.0	5.5	2.1
115virginica	5.7	2.5	5.0	2.0
116virginica	5.8	2.8	5.1	2.4
117virginica	6.4	3.2	5.3	2.3
118virginica	6.5	3.0	5.5	1.8
119virginica	7.7	3.8	6.7	2.2
120virginica	7.7	2.6	6.9	2.3
121virginica	6.0	2.2	5.0	1.5
122virginica	6.9	3.2	5.7	2.3
123virginica	5.6	2.8	4.9	2.0
124virginica	7.7	2.8	6.7	2.0
125virginica	6.3	2.7	4.9	1.8
126virginica	6.7	3.3	5.7	2.1
127virginica	7.2	3.2	6.0	1.8
128virginica	6.2	2.8	4.8	1.8
129virginica	6.1	3.0	4.9	1.8
130virginica	6.4	2.8	5.6	2.1
131virginica	7.2	3.0	5.8	1.6
132virginica	7.4	2.8	6.1	1.9
133virginica	7.9	3.8	6.4	2.0
134virginica	6.4	2.8	5.6	2.2
135virginica	6.3	2.8	5.1	1.5
136virginica	6.1	2.6	5.6	1.4
137virginica	7.7	3.0	6.1	2.3
138virginica	6.3	3.4	5.6	2.4
139virginica	6.4	3.1	5.5	1.8
140virginica	6.0	3.0	4.8	1.8
141virginica	6.9	3.1	5.4	2.1
142virginica	6.7	3.1	5.6	2.4
143virginica	6.9	3.1	5.1	2.3
144virginica	5.8	2.7	5.1	1.9
145virginica	6.8	3.2	5.9	2.3
146virginica	6.7	3.3	5.7	2.5
147virginica	6.7	3.0	5.2	2.3
148virginica	6.3	2.5	5.0	1.9
149virginica	6.5	3.0	5.2	2.0
150virginica	6.2	3.4	5.4	2.3
151virginica	5.9	3.0	5.1	1.8
